tag,count,percent,unique_tokens
FARM_OP,8215,23.45%,605
CROP,4735,13.52%,459
CROP_PART,4229,12.07%,228
FERT,1903,5.43%,309
PERIOD,1430,4.08%,546
WEATHER,1193,3.41%,129
NUT,1121,3.20%,170
COUNT,1107,3.16%,345
QTY,1082,3.09%,584
PEST,1001,2.86%,227
SYM,875,2.50%,358
FUNG,848,2.42%,185
PESTI,758,2.16%,207
LOC,738,2.11%,215
TIME,701,2.00%,145
DIST,693,1.98%,267
DIS,667,1.90%,229
SEED,530,1.51%,52
EQUIP,474,1.35%,148
PATH,443,1.26%,50
SEASON,374,1.07%,27
VAR,350,1.00%,232
SOIL_TYPE,270,0.77%,94
METHOD,217,0.62%,133
ABIOD,205,0.59%,71
WEED,191,0.55%,46
FOOD,169,0.48%,42
TEMP,137,0.39%,103
HERB,113,0.32%,47
ORG,105,0.30%,42
PRICE,69,0.20%,42
YIELD,28,0.08%,20
PER,25,0.07%,18
HUM,22,0.06%,9
BIOD,8,0.02%,6
