tag,count,percent,unique_tokens
O,36462,51.00%,24853
FARM_OP,8215,11.49%,605
CROP,4735,6.62%,459
CROP_PART,4229,5.92%,228
FERT,1903,2.66%,309
PERIOD,1430,2.00%,546
WEATHER,1193,1.67%,129
NUT,1121,1.57%,170
COUNT,1107,1.55%,345
QTY,1082,1.51%,584
PEST,1001,1.40%,227
SYM,875,1.22%,358
FUNG,848,1.19%,185
PESTI,758,1.06%,207
LOC,738,1.03%,215
TIME,701,0.98%,145
DIST,693,0.97%,267
DIS,667,0.93%,229
SEED,530,0.74%,52
EQUIP,474,0.66%,148
PATH,443,0.62%,50
SEASON,374,0.52%,27
VAR,350,0.49%,232
SOIL_TYPE,270,0.38%,94
METHOD,217,0.30%,133
ABIOD,205,0.29%,71
WEED,191,0.27%,46
FOOD,169,0.24%,42
TEMP,137,0.19%,103
HERB,113,0.16%,47
ORG,105,0.15%,42
PRICE,69,0.10%,42
YIELD,28,0.04%,20
PER,25,0.03%,18
HUM,22,0.03%,9
BIOD,8,0.01%,6
