token,count,percent,tags,tag_percentages
စိုက်ပျိုး,1904,5.44%,FARM_OP:1904,FARM_OP:100.00%
စိုက်,1022,2.92%,FARM_OP:1022,FARM_OP:100.00%
ဖျန်း,726,2.07%,FARM_OP:726,FARM_OP:100.00%
အသီး,703,2.01%,CROP_PART:703,CROP_PART:100.00%
စပါး,591,1.69%,CROP:591,CROP:100.00%
အရွက်,574,1.64%,CROP_PART:574,CROP_PART:100.00%
ကြံ,423,1.21%,CROP:423,CROP:100.00%
မှို,355,1.01%,PATH:299; CROP:55; FUNG:1,PATH:84.23%; CROP:15.49%; FUNG:0.28%
အမြစ်,340,0.97%,CROP_PART:340,CROP_PART:100.00%
ကျွေး,265,0.76%,FARM_OP:265,FARM_OP:100.00%
မျိုးစေ့,246,0.70%,SEED:246,SEED:100.00%
အစေ့,224,0.64%,CROP_PART:224,CROP_PART:100.00%
အပူချိန်,217,0.62%,WEATHER:217,WEATHER:100.00%
အစိုဓာတ်,216,0.62%,WEATHER:216,WEATHER:100.00%
မြေဆွေး,201,0.57%,FERT:201,FERT:100.00%
ကိုင်း,198,0.57%,CROP_PART:198,CROP_PART:100.00%
ပင်စည်,188,0.54%,CROP_PART:188,CROP_PART:100.00%
ရိတ်သိမ်း,174,0.50%,FARM_OP:174,FARM_OP:100.00%
ရေသွင်း,172,0.49%,FARM_OP:172,FARM_OP:100.00%
နိုက်ထရိုဂျင်,170,0.49%,NUT:170,NUT:100.00%
အပင်ခြေ,169,0.48%,CROP_PART:169,CROP_PART:100.00%
မတ်ပဲ,164,0.47%,CROP:164,CROP:100.00%
ပန်းပွင့်,159,0.45%,CROP_PART:158; FERT:1,CROP_PART:99.37%; FERT:0.63%
ပုလဲ,158,0.45%,FERT:157; LOC:1,FERT:99.37%; LOC:0.63%
နှမ်း,142,0.41%,CROP:142,CROP:100.00%
အပွင့်,141,0.40%,CROP_PART:141,CROP_PART:100.00%
စိုက်ပျိုးခြင်း,134,0.38%,FARM_OP:134,FARM_OP:100.00%
နဂါးမောက်,127,0.36%,CROP:127,CROP:100.00%
ပျိုးထောင်,127,0.36%,FARM_OP:127,FARM_OP:100.00%
ဆေးဖျန်း,122,0.35%,FARM_OP:122,FARM_OP:100.00%
နွားချေး,122,0.35%,FERT:122,FERT:100.00%
ဖြတ်,121,0.35%,FARM_OP:121,FARM_OP:100.00%
မျိုးပွား,118,0.34%,FARM_OP:118,FARM_OP:100.00%
ခရမ်းချဉ်,116,0.33%,CROP:116,CROP:100.00%
ခူးဆွတ်,113,0.32%,FARM_OP:113,FARM_OP:100.00%
ရေလောင်း,113,0.32%,FARM_OP:113,FARM_OP:100.00%
ထည့်,111,0.32%,FARM_OP:111,FARM_OP:100.00%
ပိုးမွှား,110,0.31%,PEST:110,PEST:100.00%
တစ်ကြိမ်,107,0.31%,COUNT:107,COUNT:100.00%
ပိုတက်စီယမ်,105,0.30%,NUT:105,NUT:100.00%
ကိုင်းဖြတ်,104,0.30%,FARM_OP:96; CROP_PART:8,FARM_OP:92.31%; CROP_PART:7.69%
တစ်ပင်,104,0.30%,COUNT:104,COUNT:100.00%
ပက်ဖျန်း,100,0.29%,FARM_OP:100,FARM_OP:100.00%
ရောဂါ,100,0.29%,DIS:100,DIS:100.00%
တစ်ခု,96,0.27%,COUNT:96,COUNT:100.00%
ပျိုးပင်,96,0.27%,SEED:96,SEED:100.00%
ဖော့စဖရပ်,94,0.27%,NUT:94,NUT:100.00%
မြန်မာနိုင်ငံ,94,0.27%,LOC:94,LOC:100.00%
တစ်ဧက,90,0.26%,DIST:50; QTY:40,DIST:55.56%; QTY:44.44%
သိုလှောင်,89,0.25%,FARM_OP:89,FARM_OP:100.00%
အကိုင်း,88,0.25%,CROP_PART:88,CROP_PART:100.00%
မန်ကိုဇက်,87,0.25%,FUNG:87,FUNG:100.00%
မျက်လုံးဖူး,85,0.24%,CROP_PART:85,CROP_PART:100.00%
ယူရီးယား,84,0.24%,FERT:84,FERT:100.00%
အဖူး,83,0.24%,CROP_PART:83,CROP_PART:100.00%
ဂျုံ,82,0.23%,CROP:82,CROP:100.00%
ပဲတီစိမ်း,82,0.23%,CROP:82,CROP:100.00%
ခြောက်သွေ့,80,0.23%,WEATHER:67; SYM:13,WEATHER:83.75%; SYM:16.25%
ပြောင်း,75,0.21%,CROP:75,CROP:100.00%
ပျိုး,74,0.21%,FARM_OP:74,FARM_OP:100.00%
ဥ,72,0.21%,CROP_PART:72,CROP_PART:100.00%
အီးအမ်,70,0.20%,FERT:70,FERT:100.00%
သီး,69,0.20%,CROP_PART:69,CROP_PART:100.00%
ပေါင်းမြက်,67,0.19%,WEED:67,WEED:100.00%
သရက်,65,0.19%,CROP:65,CROP:100.00%
နွေရာသီ,64,0.18%,SEASON:64,SEASON:100.00%
အနှံ,64,0.18%,CROP_PART:64,CROP_PART:100.00%
ကော်ဖီ,62,0.18%,CROP:62,CROP:100.00%
ရေထုတ်,62,0.18%,FARM_OP:62,FARM_OP:100.00%
ပန်း,60,0.17%,CROP_PART:32; CROP:28,CROP_PART:53.33%; CROP:46.67%
ကာကွယ်,59,0.17%,FARM_OP:59,FARM_OP:100.00%
ဆောင်း,57,0.16%,SEASON:57,SEASON:100.00%
တစ်လ,57,0.16%,PERIOD:57,PERIOD:100.00%
တီစူပါ,57,0.16%,FERT:57,FERT:100.00%
ဘက်တီးရီးယား,57,0.16%,PATH:57,PATH:100.00%
မှိုရောဂါ,57,0.16%,DIS:57,DIS:100.00%
စုပ်စားပိုး,56,0.16%,PEST:56,PEST:100.00%
နေရောင်ခြည်,56,0.16%,WEATHER:56,WEATHER:100.00%
မြေပြင်,55,0.16%,FARM_OP:55,FARM_OP:100.00%
သားတက်,55,0.16%,CROP_PART:54; SEED:1,CROP_PART:98.18%; SEED:1.82%
မိုးများ,54,0.15%,WEATHER:54,WEATHER:100.00%
လှေးပိုး,54,0.15%,PEST:54,PEST:100.00%
အဆစ်,54,0.15%,CROP_PART:54,CROP_PART:100.00%
ငှက်ပျော,53,0.15%,CROP:53,CROP:100.00%
ပက်,53,0.15%,FARM_OP:53,FARM_OP:100.00%
ပန်းပွင့်,53,0.15%,CROP_PART:53,CROP_PART:100.00%
ပိုတက်ရှ်,53,0.15%,FERT:53,FERT:100.00%
ဖယ်ရှား,53,0.15%,FARM_OP:53,FARM_OP:100.00%
အပွင့်,53,0.15%,CROP_PART:53,CROP_PART:100.00%
ဆွတ်ခူး,52,0.15%,FARM_OP:52,FARM_OP:100.00%
ထည့်သွင်း,52,0.15%,FARM_OP:52,FARM_OP:100.00%
နှိမ်နင်း,52,0.15%,FARM_OP:52,FARM_OP:100.00%
ရေဝပ်,52,0.15%,ABIOD:52,ABIOD:100.00%
ပိုတက်,51,0.15%,FERT:32; NUT:19,FERT:62.75%; NUT:37.25%
မိုးရာသီ,51,0.15%,SEASON:51,SEASON:100.00%
စိုက်ခင်း,50,0.14%,LOC:50,LOC:100.00%
အမိုင်နိုအက်စစ်,50,0.14%,FERT:45; NUT:5,FERT:90.00%; NUT:10.00%
ကော့ပါးအောက်စီကလိုရိုက်,49,0.14%,FUNG:49,FUNG:100.00%
ဆောင်းရာသီ,49,0.14%,SEASON:49,SEASON:100.00%
ပုပ်,49,0.14%,SYM:49,SYM:100.00%
