token,count,percent,tags,tag_percentages
စိုက်ပျိုး,1904,2.66%,FARM_OP:1904,FARM_OP:100.00%
၊,1180,1.65%,O:1180,O:100.00%
စိုက်,1023,1.43%,FARM_OP:1022; O:1,FARM_OP:99.90%; O:0.10%
ဖျန်း,726,1.02%,FARM_OP:726,FARM_OP:100.00%
အသီး,703,0.98%,CROP_PART:703,CROP_PART:100.00%
စပါး,591,0.83%,CROP:591,CROP:100.00%
အရွက်,574,0.80%,CROP_PART:574,CROP_PART:100.00%
ကြံ,423,0.59%,CROP:423,CROP:100.00%
ကို,398,0.56%,O:397; FOOD:1,O:99.75%; FOOD:0.25%
ပါ။,371,0.52%,O:371,O:100.00%
မှို,360,0.50%,PATH:299; CROP:55; O:5; FUNG:1,PATH:83.06%; CROP:15.28%; O:1.39%; FUNG:0.28%
နှင့်,351,0.49%,O:351,O:100.00%
အမြစ်,340,0.48%,CROP_PART:340,CROP_PART:100.00%
မှ,278,0.39%,O:278,O:100.00%
ကျွေး,265,0.37%,FARM_OP:265,FARM_OP:100.00%
ပြီး,258,0.36%,O:258,O:100.00%
မျိုးစေ့,250,0.35%,SEED:246; O:4,SEED:98.40%; O:1.60%
အစေ့,225,0.31%,CROP_PART:224; O:1,CROP_PART:99.56%; O:0.44%
နဲ့,218,0.30%,O:217; NUT:1,O:99.54%; NUT:0.46%
အပူချိန်,217,0.30%,WEATHER:217,WEATHER:100.00%
အစိုဓာတ်,216,0.30%,WEATHER:216,WEATHER:100.00%
တွင်,205,0.29%,O:205,O:100.00%
မြေဆွေး,201,0.28%,FERT:201,FERT:100.00%
ကိုင်း,198,0.28%,CROP_PART:198,CROP_PART:100.00%
ပေးပါ။,195,0.27%,O:195,O:100.00%
ပင်စည်,188,0.26%,CROP_PART:188,CROP_PART:100.00%
နိုင်သည်။,185,0.26%,O:185,O:100.00%
ရိတ်သိမ်း,174,0.24%,FARM_OP:174,FARM_OP:100.00%
ရေသွင်း,172,0.24%,FARM_OP:172,FARM_OP:100.00%
နိုက်ထရိုဂျင်,170,0.24%,NUT:170,NUT:100.00%
အပင်ခြေ,170,0.24%,CROP_PART:169; O:1,CROP_PART:99.41%; O:0.59%
။,170,0.24%,O:170,O:100.00%
မတ်ပဲ,164,0.23%,CROP:164,CROP:100.00%
ပန်းပွင့်,159,0.22%,CROP_PART:158; FERT:1,CROP_PART:99.37%; FERT:0.63%
(,158,0.22%,O:158,O:100.00%
ပုလဲ,158,0.22%,FERT:157; LOC:1,FERT:99.37%; LOC:0.63%
",",149,0.21%,O:149,O:100.00%
နှမ်း,142,0.20%,CROP:142,CROP:100.00%
အပွင့်,141,0.20%,CROP_PART:141,CROP_PART:100.00%
+,135,0.19%,O:135,O:100.00%
စိုက်ပျိုးခြင်း,134,0.19%,FARM_OP:134,FARM_OP:100.00%
များကို,131,0.18%,O:131,O:100.00%
နဂါးမောက်,127,0.18%,CROP:127,CROP:100.00%
